Slice,Count,Total Area,Average Size,%Area,Mean,,Coupon
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-06_m06_DAPI.tif,1219,1.415,0.001,8.84,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-06_m07_DAPI.tif,1253,1.111,8.86E-04,6.938,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-06_m08_DAPI.tif,1021,0.934,9.15E-04,5.835,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-06_m09_DAPI.tif,1408,1.109,7.88E-04,6.93,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-06_m10_DAPI.tif,1228,1.013,8.25E-04,6.328,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-06_m11_DAPI.tif,1298,1.042,8.03E-04,6.512,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-06_m12_DAPI.tif,1655,1.309,7.91E-04,8.179,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-06_m13_DAPI.tif,3160,1.938,6.13E-04,12.106,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-06_m14_DAPI.tif,1391,1.336,9.60E-04,8.345,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-06_m15_DAPI.tif,1311,1.108,8.45E-04,6.919,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-06_m16_DAPI.tif,1261,1.073,8.51E-04,6.706,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m01_DAPI.tif,2016,1.37,6.79E-04,8.556,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m02_DAPI.tif,1714,1.334,7.78E-04,8.333,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m03_DAPI.tif,1249,1.21,9.69E-04,7.561,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m04_DAPI.tif,1269,1.228,9.68E-04,7.673,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m05_DAPI.tif,1104,1.034,9.37E-04,6.46,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m06_DAPI.tif,1219,1.415,0.001,8.84,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m07_DAPI.tif,1253,1.111,8.86E-04,6.938,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m08_DAPI.tif,1021,0.934,9.15E-04,5.835,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m09_DAPI.tif,1408,1.109,7.88E-04,6.93,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m10_DAPI.tif,1228,1.013,8.25E-04,6.328,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m11_DAPI.tif,1298,1.042,8.03E-04,6.512,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m12_DAPI.tif,1655,1.309,7.91E-04,8.179,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m13_DAPI.tif,3160,1.938,6.13E-04,12.106,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m14_DAPI.tif,1391,1.336,9.60E-04,8.345,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m15_DAPI.tif,1311,1.108,8.45E-04,6.919,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-07_m16_DAPI.tif,1261,1.073,8.51E-04,6.706,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m01_DAPI.tif,2016,1.37,6.79E-04,8.556,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m02_DAPI.tif,1714,1.334,7.78E-04,8.333,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m03_DAPI.tif,1249,1.21,9.69E-04,7.561,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m04_DAPI.tif,1269,1.228,9.68E-04,7.673,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m05_DAPI.tif,1104,1.034,9.37E-04,6.46,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m06_DAPI.tif,1219,1.415,0.001,8.84,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m07_DAPI.tif,1253,1.111,8.86E-04,6.938,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m08_DAPI.tif,1021,0.934,9.15E-04,5.835,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m09_DAPI.tif,1408,1.109,7.88E-04,6.93,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m10_DAPI.tif,1228,1.013,8.25E-04,6.328,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m11_DAPI.tif,1298,1.042,8.03E-04,6.512,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m12_DAPI.tif,1655,1.309,7.91E-04,8.179,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m13_DAPI.tif,3160,1.938,6.13E-04,12.106,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m14_DAPI.tif,1391,1.336,9.60E-04,8.345,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m15_DAPI.tif,1311,1.108,8.45E-04,6.919,255,,46
FK2021CL_(247)-Profundidad de enfoque extendida-05-Exportar imagen-08_m16_DAPI.tif,1261,1.073,8.51E-04,6.706,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m01_DAPI.tif,2459,1.893,7.70E-04,11.828,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m02_DAPI.tif,2999,2.254,7.52E-04,14.079,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m03_DAPI.tif,3288,2.274,6.92E-04,14.202,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m04_DAPI.tif,3956,2.846,7.19E-04,17.779,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m05_DAPI.tif,2541,2.502,9.85E-04,15.626,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m06_DAPI.tif,1457,1.51,0.001,9.434,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m07_DAPI.tif,1292,1.227,9.50E-04,7.668,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m08_DAPI.tif,1244,1.306,0.001,8.161,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m09_DAPI.tif,1208,1.279,0.001,7.989,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m10_DAPI.tif,1344,1.393,0.001,8.702,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m11_DAPI.tif,1496,1.456,9.73E-04,9.096,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m12_DAPI.tif,2545,2.254,8.86E-04,14.078,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m13_DAPI.tif,3358,2.59,7.71E-04,16.18,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m14_DAPI.tif,1912,2.129,0.001,13.299,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m15_DAPI.tif,1433,1.267,8.84E-04,7.912,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-07_m16_DAPI.tif,1377,1.494,0.001,9.333,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m01_DAPI.tif,2459,1.893,7.70E-04,11.828,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m02_DAPI.tif,2999,2.254,7.52E-04,14.079,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m03_DAPI.tif,3288,2.274,6.92E-04,14.202,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m04_DAPI.tif,3956,2.846,7.19E-04,17.779,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m05_DAPI.tif,2541,2.502,9.85E-04,15.626,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m06_DAPI.tif,1457,1.51,0.001,9.434,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m07_DAPI.tif,1292,1.227,9.50E-04,7.668,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m08_DAPI.tif,1244,1.306,0.001,8.161,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m09_DAPI.tif,1208,1.279,0.001,7.989,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m10_DAPI.tif,1344,1.393,0.001,8.702,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m11_DAPI.tif,1496,1.456,9.73E-04,9.096,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m12_DAPI.tif,2545,2.254,8.86E-04,14.078,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m13_DAPI.tif,3358,2.59,7.71E-04,16.18,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m14_DAPI.tif,1912,2.129,0.001,13.299,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m15_DAPI.tif,1433,1.267,8.84E-04,7.912,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-08_m16_DAPI.tif,1377,1.494,0.001,9.333,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m01_DAPI.tif,2459,1.893,7.70E-04,11.828,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m02_DAPI.tif,2999,2.254,7.52E-04,14.079,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m03_DAPI.tif,3288,2.274,6.92E-04,14.202,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m04_DAPI.tif,3956,2.846,7.19E-04,17.779,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m05_DAPI.tif,2541,2.502,9.85E-04,15.626,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m06_DAPI.tif,1457,1.51,0.001,9.434,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m07_DAPI.tif,1292,1.227,9.50E-04,7.668,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m08_DAPI.tif,1244,1.306,0.001,8.161,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m09_DAPI.tif,1208,1.279,0.001,7.989,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m10_DAPI.tif,1344,1.393,0.001,8.702,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m11_DAPI.tif,1496,1.456,9.73E-04,9.096,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m12_DAPI.tif,2545,2.254,8.86E-04,14.078,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m13_DAPI.tif,3358,2.59,7.71E-04,16.18,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m14_DAPI.tif,1912,2.129,0.001,13.299,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m15_DAPI.tif,1433,1.267,8.84E-04,7.912,255,,46
FK2021CL_(248)-Profundidad de enfoque extendida-06-Exportar imagen-09_m16_DAPI.tif,1377,1.494,0.001,9.333,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m01_DAPI.tif,6478,8.015,0.001,50.068,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m02_DAPI.tif,1413,1.276,9.03E-04,7.97,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m03_DAPI.tif,1311,0.983,7.50E-04,6.143,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m04_DAPI.tif,1515,1.4,9.24E-04,8.745,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m05_DAPI.tif,1636,1.424,8.71E-04,8.897,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m06_DAPI.tif,1419,0.824,5.81E-04,5.146,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m07_DAPI.tif,1526,1.625,0.001,10.149,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m08_DAPI.tif,1351,1.051,7.78E-04,6.564,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m09_DAPI.tif,1803,5.684,0.003,35.508,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m10_DAPI.tif,1316,0.887,6.74E-04,5.543,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m11_DAPI.tif,1592,1.152,7.24E-04,7.199,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m12_DAPI.tif,1755,1.597,9.10E-04,9.977,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m13_DAPI.tif,1717,1.862,0.001,11.634,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m14_DAPI.tif,1550,1.269,8.19E-04,7.929,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m15_DAPI.tif,1426,1.079,7.57E-04,6.74,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-01-Exportar imagen-06_m16_DAPI.tif,1695,2.663,0.002,16.635,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m01_DAPI.tif,2991,1.913,6.40E-04,11.952,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m02_DAPI.tif,1315,1.073,8.16E-04,6.701,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m03_DAPI.tif,1291,0.822,6.37E-04,5.135,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m04_DAPI.tif,1474,1.265,8.58E-04,7.9,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m05_DAPI.tif,1560,1.203,7.72E-04,7.518,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m06_DAPI.tif,1376,0.662,4.81E-04,4.134,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m07_DAPI.tif,1454,1.425,9.80E-04,8.899,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m08_DAPI.tif,1236,0.858,6.94E-04,5.361,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m09_DAPI.tif,1686,5.261,0.003,32.863,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m10_DAPI.tif,1255,0.727,5.79E-04,4.54,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m11_DAPI.tif,1510,0.913,6.05E-04,5.706,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m12_DAPI.tif,1666,1.359,8.16E-04,8.492,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m13_DAPI.tif,1675,1.594,9.52E-04,9.956,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m14_DAPI.tif,1498,1.074,7.17E-04,6.707,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m15_DAPI.tif,1429,0.89,6.23E-04,5.559,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-08_m16_DAPI.tif,1502,2.349,0.002,14.675,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m01_DAPI.tif,2991,1.913,6.40E-04,11.952,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m02_DAPI.tif,1315,1.073,8.16E-04,6.701,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m03_DAPI.tif,1291,0.822,6.37E-04,5.135,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m04_DAPI.tif,1474,1.265,8.58E-04,7.9,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m05_DAPI.tif,1560,1.203,7.72E-04,7.518,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m06_DAPI.tif,1376,0.662,4.81E-04,4.134,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m07_DAPI.tif,1454,1.425,9.80E-04,8.899,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m08_DAPI.tif,1236,0.858,6.94E-04,5.361,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m09_DAPI.tif,1686,5.261,0.003,32.863,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m10_DAPI.tif,1255,0.727,5.79E-04,4.54,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m11_DAPI.tif,1510,0.913,6.05E-04,5.706,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m12_DAPI.tif,1666,1.359,8.16E-04,8.492,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m13_DAPI.tif,1675,1.594,9.52E-04,9.956,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m14_DAPI.tif,1498,1.074,7.17E-04,6.707,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m15_DAPI.tif,1429,0.89,6.23E-04,5.559,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-09_m16_DAPI.tif,1502,2.349,0.002,14.675,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m01_DAPI.tif,2991,1.913,6.40E-04,11.952,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m02_DAPI.tif,1315,1.073,8.16E-04,6.701,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m03_DAPI.tif,1291,0.822,6.37E-04,5.135,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m04_DAPI.tif,1474,1.265,8.58E-04,7.9,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m05_DAPI.tif,1560,1.203,7.72E-04,7.518,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m06_DAPI.tif,1376,0.662,4.81E-04,4.134,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m07_DAPI.tif,1454,1.425,9.80E-04,8.899,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m08_DAPI.tif,1236,0.858,6.94E-04,5.361,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m09_DAPI.tif,1686,5.261,0.003,32.863,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m10_DAPI.tif,1255,0.727,5.79E-04,4.54,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m11_DAPI.tif,1510,0.913,6.05E-04,5.706,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m12_DAPI.tif,1666,1.359,8.16E-04,8.492,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m13_DAPI.tif,1675,1.594,9.52E-04,9.956,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m14_DAPI.tif,1498,1.074,7.17E-04,6.707,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m15_DAPI.tif,1429,0.89,6.23E-04,5.559,255,,46
FK2021CL_(249)-Profundidad de enfoque extendida-07-Exportar imagen-10_m16_DAPI.tif,1502,2.349,0.002,14.675,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m01_DAPI.tif,1604,1.181,7.37E-04,7.379,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m02_DAPI.tif,1704,1.103,6.47E-04,6.889,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m03_DAPI.tif,1717,1.109,6.46E-04,6.926,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m04_DAPI.tif,1702,1.214,7.14E-04,7.587,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m05_DAPI.tif,1830,1.129,6.17E-04,7.051,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m06_DAPI.tif,1675,0.736,4.40E-04,4.599,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m07_DAPI.tif,1640,0.775,4.73E-04,4.842,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m08_DAPI.tif,1466,0.859,5.86E-04,5.365,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m09_DAPI.tif,1727,1.105,6.40E-04,6.905,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m10_DAPI.tif,1284,0.603,4.70E-04,3.767,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m11_DAPI.tif,1684,0.783,4.65E-04,4.893,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m12_DAPI.tif,1826,1.11,6.08E-04,6.934,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m13_DAPI.tif,2076,1.786,8.60E-04,11.155,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m14_DAPI.tif,1664,0.806,4.84E-04,5.033,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m15_DAPI.tif,1798,0.829,4.61E-04,5.179,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-09_m16_DAPI.tif,1988,1.232,6.20E-04,7.699,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m01_DAPI.tif,1604,1.181,7.37E-04,7.379,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m02_DAPI.tif,1704,1.103,6.47E-04,6.889,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m03_DAPI.tif,1717,1.109,6.46E-04,6.926,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m04_DAPI.tif,1702,1.214,7.14E-04,7.587,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m05_DAPI.tif,1830,1.129,6.17E-04,7.051,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m06_DAPI.tif,1675,0.736,4.40E-04,4.599,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m07_DAPI.tif,1640,0.775,4.73E-04,4.842,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m08_DAPI.tif,1466,0.859,5.86E-04,5.365,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m09_DAPI.tif,1727,1.105,6.40E-04,6.905,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m10_DAPI.tif,1284,0.603,4.70E-04,3.767,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m11_DAPI.tif,1684,0.783,4.65E-04,4.893,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m12_DAPI.tif,1826,1.11,6.08E-04,6.934,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m13_DAPI.tif,2076,1.786,8.60E-04,11.155,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m14_DAPI.tif,1664,0.806,4.84E-04,5.033,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m15_DAPI.tif,1798,0.829,4.61E-04,5.179,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-10_m16_DAPI.tif,1988,1.232,6.20E-04,7.699,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-11_m01_DAPI.tif,1604,1.181,7.37E-04,7.379,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-11_m02_DAPI.tif,1704,1.103,6.47E-04,6.889,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-11_m03_DAPI.tif,1717,1.109,6.46E-04,6.926,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-11_m04_DAPI.tif,1702,1.214,7.14E-04,7.587,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-11_m05_DAPI.tif,1830,1.129,6.17E-04,7.051,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-11_m06_DAPI.tif,1675,0.736,4.40E-04,4.599,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-11_m07_DAPI.tif,1640,0.775,4.73E-04,4.842,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-11_m08_DAPI.tif,1466,0.859,5.86E-04,5.365,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-11_m09_DAPI.tif,1727,1.105,6.40E-04,6.905,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-11_m10_DAPI.tif,1284,0.603,4.70E-04,3.767,255,,46
FK2021CL_(251)-Profundidad de enfoque extendida-08-Exportar imagen-11_m11_DAPI.tif,1684,0.783,4.65E-04,4.893,255,,46
