Slice,Count,Total Area,Average Size,%Area,Mean,,Coupon
Experimento-138-Profundidad de enfoque extendida-21-Exportar imagen-03_m16_DAPI.tif,520,0.145,2.78E-04,0.904,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m01_DAPI.tif,734,0.71,9.68E-04,4.438,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m02_DAPI.tif,725,0.71,9.79E-04,4.434,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m03_DAPI.tif,778,0.649,8.34E-04,4.055,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m04_DAPI.tif,803,0.643,8.00E-04,4.014,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m05_DAPI.tif,815,0.558,6.84E-04,3.484,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m06_DAPI.tif,841,0.82,9.75E-04,5.123,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m07_DAPI.tif,732,0.612,8.36E-04,3.822,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m08_DAPI.tif,659,0.478,7.26E-04,2.989,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m09_DAPI.tif,751,0.593,7.89E-04,3.702,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m10_DAPI.tif,726,0.522,7.19E-04,3.259,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m11_DAPI.tif,751,0.538,7.16E-04,3.361,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m12_DAPI.tif,882,0.664,7.53E-04,4.147,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m13_DAPI.tif,981,0.946,9.64E-04,5.909,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m14_DAPI.tif,930,0.729,7.84E-04,4.556,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m15_DAPI.tif,825,0.598,7.25E-04,3.735,255,,46
Experimento-139-Profundidad de enfoque extendida-14-Exportar imagen-04_m16_DAPI.tif,747,0.597,7.99E-04,3.73,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m01_DAPI.tif,867,0.547,6.31E-04,3.417,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m02_DAPI.tif,955,0.6,6.29E-04,3.75,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m03_DAPI.tif,1045,0.657,6.29E-04,4.103,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m04_DAPI.tif,1134,0.779,6.87E-04,4.864,255,,46
Experimento-140-Profundidad de enfoque extendida-12-Exportar imagen-05_m05_DAPI.tif,1123,0.772,6.88E-04,4.825,255,,46
